Example of what Bundles the MCU sends to Radio APP.
01-01 14:02:53.647 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:54.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:54.091 D/radioDataBundle( 2359): Bundle{ type => tp; value => 1; }Bundle
01-01 14:02:54.607 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:54.867 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:02:55.147 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:55.587 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:55.747 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:02:56.106 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:56.627 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:56.807 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:02:57.147 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:57.154 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@250d457; }Bundle
01-01 14:02:57.587 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:58.127 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:58.467 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:02:58.647 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:59.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:02:59.607 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:00.127 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:00.130 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:00.667 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:01.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:01.626 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:01.787 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:02.147 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:02.587 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:02.773 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@f671b44; }Bundle
01-01 14:03:03.106 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:03.627 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:03.907 D/radioDataBundle( 2359): Bundle{ type => tp; value => 1; }Bundle
01-01 14:03:04.067 D/radioDataBundle( 2359): Bundle{ type => tp; value => 1; }Bundle
01-01 14:03:04.167 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:04.327 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:04.607 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:05.127 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:05.647 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:06.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:06.606 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:07.146 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:07.566 D/radioDataBundle( 2359): Bundle{ type => tp; value => 1; }Bundle
01-01 14:03:07.667 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:07.847 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:08.106 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:08.373 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@3cd842d; }Bundle
01-01 14:03:08.626 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:09.147 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:09.409 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:09.587 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:10.106 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:10.648 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:11.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:11.607 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:12.128 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:12.647 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:13.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:13.626 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:13.973 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@4952d62; }Bundle
01-01 14:03:14.146 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:14.587 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:15.106 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:15.626 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:16.066 D/radioDataBundle( 2359): Bundle{ type => tp; value => 1; }Bundle
01-01 14:03:16.166 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:16.587 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:16.592 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:16.772 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@3245ef3; }Bundle
01-01 14:03:17.126 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:17.646 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:18.007 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:18.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:18.527 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:18.606 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:19.126 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:19.669 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:20.107 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:20.628 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:21.149 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:21.946 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:22.207 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:22.373 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@e5ca7b0; }Bundle
01-01 14:03:22.646 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:23.067 D/radioDataBundle( 2359): Bundle{ type => tp; value => 1; }Bundle
01-01 14:03:23.166 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:23.606 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:24.127 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:24.645 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:24.906 D/radioDataBundle( 2359): Bundle{ type => pty; value => 10; }Bundle
01-01 14:03:25.087 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:25.606 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:26.146 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:26.585 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:27.366 D/radioDataBundle( 2359): Bundle{ type => pi; value => 64; }Bundle
01-01 14:03:30.442 D/radioDataBundle( 2359): Bundle{ type => tp; value => 0; }Bundle
01-01 14:03:30.443 D/radioDataBundle( 2359): Bundle{ type => pty; value => 0; }Bundle
